,IMG Genome ID,Genome Name_x,cobamide biosynthesis category,Phylum,Class,Order,Family,Genus,Species,Ecosystem Category
0,2562617177,Abiotrophia defectiva ATCC 49176,very likely non-producer,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Abiotrophia,Abiotrophia defectiva,Human
1,2517572146,Acaricomes phytoseiuli DSM 14247,very likely non-producer,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Acaricomes,Acaricomes phytoseiuli,Unclassified
2,641228474,Acaryochloris marina MBIC11017,possible corrinoid producer,Cyanobacteria,unclassified,Synechococcales,Acaryochloridaceae,Acaryochloris,Acaryochloris marina,Animal
3,2513237397,Acaryochloris sp CCMEE 5410,possible corrinoid producer,Cyanobacteria,unclassified,Synechococcales,Acaryochloridaceae,Acaryochloris,Acaryochloris sp. CCMEE 5410,Aquatic
4,2667527408,Acetanaerobacterium elongatum CGMCC 1.5012,very likely non-producer,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Acetanaerobacterium,Acetanaerobacterium elongatum,
5,2651870361,Acetitomaculum ruminis DSM 5522,likely corrinoid producer,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Acetitomaculum,Acetitomaculum ruminis,Mammals
6,2510461053,"Acetivibrio cellulolyticus CD2, DSM 1870 (ORNL annotation)",likely corrinoid producer,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Acetivibrio,Acetivibrio cellulolyticus,Wastewater
7,2588253727,Acetoanaerobium noterae ATCC 35199,very likely corrinoid producer,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Acetoanaerobium,Acetoanaerobium noterae,
8,2516653054,Acetobacter aceti ATCC 23746,very likely corrinoid producer,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,Acetobacter aceti,Food production
9,2675903422,Acetobacter ghanensis LMG 23848,likely corrinoid producer,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,Acetobacter ghanensis,
10,2675903295,Acetobacter malorum LMG 1699,likely corrinoid producer,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,Acetobacter malorum,
11,2522572157,Acetobacter nitrogenifigens DSM 23921,very likely corrinoid producer,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,Acetobacter nitrogenifigens,Plants
12,646862304,Acetobacter pasteurianus IFO 3283-12,likely corrinoid producer,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,Acetobacter pasteurianus,Food production
13,2596583685,Acetobacter peroxydans ATCC 12874,very likely corrinoid producer,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,Acetobacter peroxydans,
14,2617271320,Acetobacter pomorum DmCS_004,likely corrinoid producer,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,Acetobacter pomorum,
15,2684622587,Acetobacter senegalensis 108B,very likely corrinoid producer,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,Acetobacter senegalensis,
16,2582581005,Acetobacter sp. JCM 25143,likely corrinoid producer,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,Acetobacter sp. JCM 25143,
