IMG Genome ID,Genome Name / Sample Name,Phylum_new,Class_new,Order_new,Family_new,Genus_new,Species_new
2599185211,Amphritea atlantica DSM 18887,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Amphritea,Amphritea atlantica
2558860250,Alicyclobacillus acidoterrestris ATCC 49025,Bacillota,Bacilli,Bacillales,Alicyclobacillaceae,Alicyclobacillus,Alicyclobacillus acidoterrestris
646564503,"Aminobacterium colombiense ALA-1, DSM 12261",Synergistota,Synergistia,Synergistales,Aminobacteriaceae,Aminobacterium,Aminobacterium colombiense
2593339153,Bowdeniella nasicola KPR-1,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Bowdeniella,Bowdeniella nasicola
2563366745,Actinoalloteichus spitiensis RMV-1378,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Actinoalloteichus,Actinoalloteichus spitiensis
2551306056,Aliivibrio logei 5S-186,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Aliivibrio,Aliivibrio logei
2600255107,Actinomyces sp. S6-Spd3,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces sp. S6-Spd3
2582580976,Afipia sp. OHSU_II-C2,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Afipia,Afipia sp. OHSU_II-C2
2509276023,"Alkaliflexus imshenetskii Z-7010, DSM 15055",Bacteroidota,Bacteroidia,Marinilabiliales,Marinilabiliaceae,Alkaliflexus,Alkaliflexus imshenetskii
2519103017,Arthrobacter sp. Br18,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter sp. Br18
2695420936,Aliifodinibius roseus DSM 21986,Balneolota,Balneolia,Balneolales,Balneolaceae,Fodinibius,Fodinibius roseus
2634166329,Alicyclobacillus hesperidum DSM 12489,Bacillota,Bacilli,Bacillales,Alicyclobacillaceae,Alicyclobacillus,Alicyclobacillus hesperidum
649989902,Actinomyces sp. oral taxon 171 F0337,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces sp. oral taxon 171
2585427649,"Amycolatopsis japonica MG417-CF17, DSM 44213",Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis,Amycolatopsis japonica
2556921675,Ahrensia sp. 13_GOM-1096m,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Ahrensiaceae,Ahrensia,Ahrensia sp. 13_GOM-1096m
2524023187,Agromyces subbeticus DSM 16689,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Agromyces,Agromyces subbeticus
2556921097,Arthrobacter sp. 9MFCol3.1,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter sp. 9MFCol3.1
2634166338,Actinoplanes derwentensis DSM 43941,Actinomycetota,Actinomycetes,Micromonosporales,Micromonosporaceae,Actinoplanes,Actinoplanes derwentensis
2639762962,Anoxybacillus geothermalis GSSed3,Bacillota,Bacilli,Bacillales,Bacillaceae,Anoxybacillus,Anoxybacillus geothermalis
2547132094,Anaplasma marginale Washington Okanogan,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Anaplasma,Anaplasma marginale
2551306140,Aquimarina agarilytica ZC1,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aquimarina,Aquimarina agarilytica
2595698202,Arcicella aurantiaca DSM 22214,Bacteroidota,Cytophagia,Cytophagales,Spirosomaceae,Arcicella,Arcicella aurantiaca
2667527636,Aliarcobacter butzleri L351,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Arcobacteraceae,Aliarcobacter,Aliarcobacter butzleri
2609459999,Alkalibacterium sp. AK22,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,Alkalibacterium,Alkalibacterium sp. AK22
2651869520,Alphaproteobacteria FNEB6 bin_10,Pseudomonadota,Alphaproteobacteria,unclassified,unclassified,unclassified,unclassified
2609459726,Arthrobacter sp. OV118,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter sp. ov118
2648501678,Achromobacter sp. DMS1,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter sp. DMS1
2654587575,Arthrobacter sp. RIT-PI-e,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter sp. RIT-PI-e
641228475,Alkaliphilus oremlandii OhILAs,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Alkaliphilus,Alkaliphilus oremlandii
2671180696,Acidovorax sp. Root275,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax sp. Root275
2671180220,Acinetobacter marinus ANC 3699,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter marinus
2565956681,Acinetobacter schindleri CIP 107287,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter schindleri
2690315904,Alcanivorax sp. PN-3,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax,Alcanivorax sp. PN-3
2537562058,Acinetobacter sp. WC-743,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter sp. WC-743
2622736437,Algoriphagus ornithinivorans DSM 15282,Bacteroidota,Cytophagia,Cytophagales,Cyclobacteriaceae,Algoriphagus,Algoriphagus ornithinivorans
2643221665,Acinetobacter sp. Root1280,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter sp. Root1280
2675903295,Acetobacter malorum LMG 1699,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,Acetobacter malorum
2551306146,Afipia birgiae 34632,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Afipia,Afipia birgiae
2537562196,Actinomyces sp. ICM39,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces sp. ICM39
2519899678,Algicola sagamiensis DSM 14643,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Algicola,Algicola sagamiensis
2513237397,Acaryochloris sp CCMEE 5410,Cyanobacteriota,Cyanophyceae,Synechococcales,Acaryochloridaceae,Acaryochloris,Acaryochloris sp. CCMEE 5410
2654588195,Aliicoccus persicus IBRC-M10081,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Aliicoccus,Aliicoccus persicus
2654587740,Acetobacterium bakii DSM 8239,Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,Acetobacterium,Acetobacterium bakii
2619619113,Paracholeplasma brassicae 0502,Mycoplasmatota,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Paracholeplasma,Paracholeplasma brassicae
2634166299,Alcanivorax sp. DSM 26293,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax,Alcanivorax sp. DSM 26293
2534682015,Winkia neuii BVS029A5,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Winkia,Winkia neuii
2529292583,Agrobacterium sp. UNC420CL41Cvi,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Agrobacterium,Agrobacterium sp. UNC420CL41Cvi
2597490245,Anoxybacillus sp. KU2-6(11),Bacillota,Bacilli,Bacillales,Bacillaceae,Anoxybacillus,Anoxybacillus sp. KU2-6(11)
2547132153,Alistipes obesi ph8,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes communis
2565956669,Acinetobacter sp. CIP 102637,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter sp. CIP 102637
2563366762,Aneurinibacillus aneurinilyticus ATCC 12856,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Aneurinibacillus,Aneurinibacillus aneurinilyticus
2667527699,Achromobacter sp. 2789STDY5608607,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter sp. 2789STDY5608607
2565956517,Andreprevotia chitinilytica DSM 18519,Pseudomonadota,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Andreprevotia,Andreprevotia chitinilytica
651324008,Agrobacterium sp. ATCC 31749,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Agrobacterium,Agrobacterium fabrum
650716005,Aerococcus urinae ACS-120-V-Col10a,Bacillota,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,Aerococcus urinae
2636415688,Afipia massiliensis LC387,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Afipia,Afipia massiliensis
649989904,Actinomyces sp. oral taxon 180 F0310,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces sp. oral taxon 180
650377906,Arthrospira platensis NIES-39,Cyanobacteriota,Cyanophyceae,Oscillatoriales,Microcoleaceae,Arthrospira,Arthrospira platensis
2645727772,Arthrobacter sp. LS16,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter sp. LS16
2648501552,Actinobacteria FNED7-bin-1,Actinomycetota,Actinomycetes,unclassified,unclassified,unclassified,unclassified
2710723992,Acidobacteria bacterium RIFCSPLOWO2_02_FULL_67_21,Acidobacteriota,unclassified,unclassified,unclassified,unclassified,Acidobacteria bacterium RIFCSPLOWO2_02_FULL_67_21
642555106,Anaeromyxobacter sp. K,Myxococcota,Myxococcia,Myxococcales,Anaeromyxobacteraceae,Anaeromyxobacter,Anaeromyxobacter sp. K
647533109,Alcanivorax sp. DG881,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax,Alcanivorax sp. DG881
2617271315,Acinetobacter sp. MN12,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter sp. MN12
2524614872,Arsenophonus nasoniae DSM 15247,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Arsenophonus,Arsenophonus nasoniae
2558860243,Alcaligenes sp. HPC1271,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Alcaligenes,Alcaligenes sp. HPC1271
2690315973,Achromobacter sp. 2789STDY5608617,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter sp. 2789STDY5608617
2643221808,Arthrobacter sp. Leaf137,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter sp. Leaf137
2675903007,Marisediminitalea aggregata CGMCC 1.8995,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Marisediminitalea,Marisediminitalea aggregata
639633001,Acidothermus cellulolyticus 11B,Actinomycetota,Actinomycetes,Acidothermales,Acidothermaceae,Acidothermus,Acidothermus cellulolyticus
2667527850,Acetobacter tropicalis NBRC 16470,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,Acetobacter tropicalis
2654587542,Acinetobacter bereziniae HPC229,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter bereziniae
2518645625,Effusibacillus pohliae DSM 22757,Bacillota,Bacilli,Bacillales,Alicyclobacillaceae,Effusibacillus,Effusibacillus pohliae
2565956686,Acinetobacter sp. NIPH 236,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter sp. NIPH 236
2687453509,Aeromicrobium erythreum AR18,Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,Aeromicrobium,Aeromicrobium erythreum
2511231141,Alicyclobacillus acidocaldarius acidocaldarius Tc-4-1,Bacillota,Bacilli,Bacillales,Alicyclobacillaceae,Alicyclobacillus,Alicyclobacillus acidocaldarius
2675903689,Candidatus Aquiluna sp. UB-MaderosW2red,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Aquiluna,Candidatus Aquiluna sp. UB-MaderosW2red
2657245016,Achromobacter xylosoxidans 2789STDY5608630,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans
2585427931,Asaia astilbes JCM 15831,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Asaia,Asaia astilbis
2630968940,Acinetobacter sp. YZS-X1-1,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter sp. YZS-X1-1
2528768210,Arthrobacter sp. 35W,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter sp. 35W
2513237386,Actinomyces sp. F0330,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces sp. oral taxon 849
2516143110,Agrobacterium albertimagni AOL15,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Agrobacterium,Agrobacterium albertimagni
2693429500,Arboricoccus pini B29T1,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Geminicoccaceae,Arboricoccus,Arboricoccus pini
2619619031,Actinopolyspora xinjiangensis DSM 46732,Actinomycetota,Actinomycetes,Actinopolysporales,Actinopolysporaceae,Actinopolyspora,Actinopolyspora xinjiangensis
2519899535,Acidovorax sp. KKS102,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax sp. KKS102
2695420963,Actinoplanes xinjiangensis DSM 45184,Actinomycetota,Actinomycetes,Micromonosporales,Micromonosporaceae,Actinoplanes,Actinoplanes xinjiangensis
2516653054,Acetobacter aceti ATCC 23746,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,Acetobacter aceti
2643221845,Arthrobacter sp. Soil764,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter sp. Soil764
2524023219,Amphibacillus xylanus NBRC 15112,Bacillota,Bacilli,Bacillales,Bacillaceae,Amphibacillus,Amphibacillus xylanus
2671180222,Oryzisolibacter propanilivorax EPL6,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Oryzisolibacter,Oryzisolibacter propanilivorax
2711768416,Acidobacteria bacterium RIFCSPLOWO2_12_FULL_68_19,Acidobacteriota,unclassified,unclassified,unclassified,unclassified,Acidobacteria bacterium RIFCSPLOWO2_12_FULL_68_19
2516143008,Amycolatopsis alba DSM 44262,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis,Amycolatopsis alba
2634166303,Arenibacter palladensis DSM 17539,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Arenibacter,Arenibacter palladensis
2513237288,Acetobacteraceae bacterium AT-5844,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,unclassified,Acetobacteraceae bacterium AT-5844
2681813550,Alicyclobacillus vulcanalis DSM 16176,Bacillota,Bacilli,Bacillales,Alicyclobacillaceae,Alicyclobacillus,Alicyclobacillus vulcanalis
2571042229,Acidithiobacillus thiooxidans A01,Pseudomonadota,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,Acidithiobacillus thiooxidans
2710723991,Acidobacteria bacterium RIFCSPLOWO2_02_FULL_61_28,Acidobacteriota,unclassified,unclassified,unclassified,unclassified,Acidobacteria bacterium RIFCSPLOWO2_02_FULL_61_28
2690315757,Aeromicrobium sp. Leaf289,Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,Aeromicrobium,Aeromicrobium sp. Leaf289
2554235409,Actinoplanes sp. N902-109,Actinomycetota,Actinomycetes,Micromonosporales,Micromonosporaceae,Actinoplanes,Actinoplanes sp. N902-109
640427101,Acidiphilium cryptum JF-5,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidiphilium,Acidiphilium cryptum
2643221549,Agromyces sp. Root1464,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Agromyces,Agromyces sp. Root1464
2574180179,Aquamicrobium defluvii W13Z1,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Aquamicrobium,Aquamicrobium defluvii
639633003,Acidovorax sp. JS42,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax sp. JS42
2710724218,Alteromonas sp. I10,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,Alteromonas sp. I10
2687453434,Alteromonas sp. Mac2,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,Alteromonas sp. Mac2
2710724203,Arthrobacter sp. B3,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter sp. B3
2648501117,Acinetobacter equi 114,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter equi
2710724059,Acidobacteria bacterium RIFCSPLOWO2_02_FULL_67_36,Acidobacteriota,unclassified,unclassified,unclassified,unclassified,Acidobacteria bacterium RIFCSPLOWO2_02_FULL_67_36
2524614808,Aneurinibacillus terranovensis DSM 18919,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Aneurinibacillus,Aneurinibacillus terranovensis
2516653039,Dolichospermum circinale AWQC131C,Cyanobacteriota,Cyanophyceae,Nostocales,Aphanizomenonaceae,Dolichospermum,Dolichospermum circinale
2690315955,Anoxybacillus sp. B7M1,Bacillota,Bacilli,Bacillales,Bacillaceae,Anoxybacillus,Anoxybacillus sp. B7M1
2558860994,Alkanindiges illinoisensis DSM 15370,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Alkanindiges,Alkanindiges illinoisensis
2700988714,Actinomadura meyerae DSM 44715,Actinomycetota,Actinomycetes,Streptosporangiales,Thermomonosporaceae,Actinomadura,Actinomadura meyerae
2643221872,Agreia sp. Leaf283,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Agreia,Agreia sp. Leaf283
648028002,Acetohalobium arabaticum DSM 5501,Bacillota,Clostridia,Halanaerobiales,Halobacteroidaceae,Acetohalobium,Acetohalobium arabaticum
2639763092,Aeromonas sanarellii LMG 24682,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas sanarellii
2588254259,Anaerorhabdus furcosa ATCC 25662,Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Anaerorhabdus,Anaerorhabdus furcosa
2541047505,Actinomyces johnsonii F0510,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces johnsonii
2615840616,Anoxybacillus suryakundensis DSM 27374,Bacillota,Bacilli,Bacillales,Bacillaceae,Anoxybacillus,Anoxybacillus suryakundensis
2643221621,Achromobacter sp. Root83,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter sp. Root83
2558860135,Anaerovibrio sp. RM50,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Anaerovibrio,Anaerovibrio sp. RM50
2710723503,Alphaproteobacteria bacterium RIFCSPHIGHO2_12_42_13,Pseudomonadota,Alphaproteobacteria,unclassified,unclassified,unclassified,Alphaproteobacteria bacterium RIFCSPHIGHO2_12_42_13
2565956644,Acinetobacter sp. CIP 102136,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter sp. CIP 102136
2524614860,Actinomyces slackii ATCC 49928,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces slackii
2565956658,Acinetobacter sp. ANC 3862,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter sp. ANC 3862
